T,rule,lam,bits,rounding,scale,seed,recalled,age50,fidelity,write_lsb,saturated_frac,unchanged_frac
512,delta,1.0,4,stochastic,static,1,71.91,58,0.0979,0.1782,0.0262,0.8267
512,delta,1.0,4,stochastic,dynamic,1,2.44,0,0.0017,0.1095,0.0002,0.8849
512,hebbian,0.99,32,,,2,157.88,148,0.2415,nan,0.0000,0.0000
512,hebbian,0.99,bf16,,,2,157.81,148,0.2415,nan,0.0000,0.0263
512,hebbian,0.99,8,nearest,static,2,163.00,150,0.2472,1.8968,0.0000,0.3011
512,hebbian,0.99,8,nearest,dynamic,2,157.94,147,0.2412,2.8782,0.0001,0.1959
512,hebbian,0.99,8,stochastic,static,2,157.50,146,0.2399,1.8968,0.0000,0.2792
512,hebbian,0.99,8,stochastic,dynamic,2,157.59,146,0.2406,2.8727,0.0001,0.1872
512,hebbian,0.99,4,nearest,static,2,214.88,143,0.2467,0.1045,0.0012,0.9816
512,hebbian,0.99,4,nearest,dynamic,2,111.09,0,0.1581,0.0810,0.0002,0.9832
512,hebbian,0.99,4,stochastic,static,2,114.66,102,0.1386,0.1045,0.0032,0.8926
512,hebbian,0.99,4,stochastic,dynamic,2,82.84,68,0.0989,0.0737,0.0002,0.9208
512,hebbian,0.995,32,,,2,260.19,243,0.3459,nan,0.0000,0.0000
512,hebbian,0.995,bf16,,,2,259.62,242,0.3455,nan,0.0000,0.0405
512,hebbian,0.995,8,nearest,static,2,275.25,256,0.3563,1.3873,0.0000,0.3768
512,hebbian,0.995,8,nearest,dynamic,2,259.97,242,0.3449,2.2806,0.0001,0.2433
512,hebbian,0.995,8,stochastic,static,2,258.31,226,0.3415,1.3873,0.0000,0.3480
512,hebbian,0.995,8,stochastic,dynamic,2,259.66,241,0.3435,2.2768,0.0001,0.2303
512,hebbian,0.995,4,nearest,static,2,99.12,0,0.1732,0.0765,0.0000,0.9949
512,hebbian,0.995,4,nearest,dynamic,2,76.47,0,0.1093,0.0623,0.0002,0.9870
512,hebbian,0.995,4,stochastic,static,2,134.28,108,0.1632,0.0765,0.0086,0.9223
512,hebbian,0.995,4,stochastic,dynamic,2,54.41,11,0.1017,0.0542,0.0002,0.9420
512,hebbian,0.997,32,,,2,349.06,340,0.4004,nan,0.0000,0.0000
512,hebbian,0.997,bf16,,,2,348.59,344,0.4003,nan,0.0000,0.0557
512,hebbian,0.997,8,nearest,static,2,369.88,360,0.4059,1.0841,0.0000,0.4395
512,hebbian,0.997,8,nearest,dynamic,2,348.19,338,0.3986,1.9996,0.0001,0.2749
512,hebbian,0.997,8,stochastic,static,2,344.03,322,0.3920,1.0841,0.0000,0.4048
512,hebbian,0.997,8,stochastic,dynamic,2,346.88,344,0.3962,1.9990,0.0001,0.2595
512,hebbian,0.997,4,nearest,static,2,46.31,0,0.1110,0.0598,0.0000,0.9986
